epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.858,2.16979,4.22216,1.87893,0.00291,0.25375,0.01054,0.00432,1.76466,4.12199,1.70033,0.000175,0.000175,0.000175
2,390.084,1.85077,3.77579,1.62446,0.00375,0.42094,0.0658,0.02788,1.89869,3.97791,1.67463,0.000355322,0.000355322,0.000355322
3,568.985,1.81031,3.33683,1.55002,0.00374,0.49906,0.06795,0.02797,1.92365,3.89878,1.74554,0.00052822,0.00052822,0.00052822
4,749.879,1.85871,3.09022,1.6137,0.85986,0.01562,0.08599,0.04607,1.8488,3.65504,1.62264,0.000693692,0.000693692,0.000693692
5,931.908,1.86369,2.87546,1.53062,0.86702,0.08,0.07985,0.0323,1.88406,3.33612,1.69313,0.00085174,0.00085174,0.00085174
6,1110.82,1.85802,2.88923,1.58708,0.87926,0.09,0.09997,0.039,2.14607,3.34677,1.95319,0.00100236,0.00100236,0.00100236
7,1288.24,1.83927,2.64124,1.53038,0.34906,0.10344,0.1925,0.09382,1.81843,3.2094,1.73546,0.0011015,0.0011015,0.0011015
8,1474.01,1.74727,2.54071,1.50653,0.25271,0.30938,0.24292,0.12145,1.87313,2.91028,1.7385,0.00107675,0.00107675,0.00107675
9,1655.68,1.7944,2.55013,1.55864,0.7746,0.10781,0.15522,0.06464,1.85654,3.16716,1.69802,0.001052,0.001052,0.001052
10,1834.65,1.73863,2.38949,1.50697,0.38026,0.2877,0.29401,0.10488,1.77905,3.19686,1.69329,0.00102725,0.00102725,0.00102725
11,2016.42,1.71343,2.33317,1.49772,0.17564,0.26938,0.17626,0.09328,1.70147,3.10787,1.6836,0.0010025,0.0010025,0.0010025
12,2198.28,1.68739,2.24408,1.47621,0.38818,0.24938,0.27605,0.16793,1.90766,2.6258,1.82396,0.00097775,0.00097775,0.00097775
13,2377.99,1.64571,2.10637,1.46183,0.33575,0.32439,0.33765,0.1692,1.78188,2.41274,1.78505,0.000953,0.000953,0.000953
14,2556.18,1.67598,2.14752,1.46808,0.42373,0.28651,0.34222,0.17123,1.75194,2.26228,1.69564,0.00092825,0.00092825,0.00092825
15,2734.98,1.64169,2.09335,1.43922,0.28796,0.34666,0.32913,0.13598,1.69582,2.70781,1.67437,0.0009035,0.0009035,0.0009035
16,2916.15,1.64387,1.96076,1.43391,0.28408,0.38324,0.30048,0.12743,1.75861,2.78962,1.725,0.00087875,0.00087875,0.00087875
17,3093.47,1.57593,1.94041,1.35251,0.37483,0.44264,0.36351,0.20274,1.70288,2.61229,1.67986,0.000854,0.000854,0.000854
18,3271.36,1.57241,1.95502,1.37916,0.42606,0.41437,0.37464,0.20463,1.73743,2.33071,1.62619,0.00082925,0.00082925,0.00082925
19,3450.62,1.52243,1.8222,1.35443,0.34125,0.39104,0.37888,0.21553,1.5909,2.06643,1.48328,0.0008045,0.0008045,0.0008045
20,3627.73,1.50537,1.76268,1.32715,0.41713,0.46191,0.45364,0.21502,1.64705,2.02574,1.45689,0.00077975,0.00077975,0.00077975
21,3804.25,1.50815,1.76119,1.342,0.44419,0.48085,0.47291,0.23903,1.67642,1.94693,1.55917,0.000755,0.000755,0.000755
22,3981.72,1.49209,1.70608,1.33054,0.47784,0.52778,0.47491,0.24995,1.54865,1.90208,1.53857,0.00073025,0.00073025,0.00073025
23,4159.31,1.48998,1.66064,1.33852,0.54313,0.51479,0.54164,0.28242,1.68721,2.04165,1.61502,0.0007055,0.0007055,0.0007055
24,4338.15,1.44768,1.63044,1.31268,0.68132,0.46558,0.55533,0.27087,1.65193,1.81918,1.65835,0.00068075,0.00068075,0.00068075
25,4518.02,1.46178,1.62848,1.3232,0.50627,0.50157,0.52057,0.26618,1.48294,1.89185,1.52573,0.000656,0.000656,0.000656
26,4696.23,1.44893,1.5683,1.31675,0.64602,0.46031,0.51245,0.26136,1.52168,1.91733,1.49503,0.00063125,0.00063125,0.00063125
27,4874.51,1.41704,1.47857,1.27374,0.62974,0.54497,0.58127,0.3163,1.47139,1.84924,1.46793,0.0006065,0.0006065,0.0006065
28,5051.58,1.37412,1.43845,1.25324,0.62449,0.54594,0.62172,0.33228,1.47869,1.77437,1.47812,0.00058175,0.00058175,0.00058175
29,5225.96,1.35311,1.43791,1.24526,0.61559,0.57575,0.62852,0.31986,1.54833,1.81882,1.54952,0.000557,0.000557,0.000557
30,5403.22,1.38465,1.47012,1.26818,0.66508,0.58133,0.62269,0.31888,1.60122,1.8611,1.5468,0.00053225,0.00053225,0.00053225
31,5581.99,1.35521,1.44504,1.2614,0.58199,0.59625,0.55974,0.29691,1.49422,1.74315,1.46626,0.0005075,0.0005075,0.0005075
32,5758.23,1.33861,1.34995,1.23211,0.61716,0.60844,0.65478,0.34122,1.47662,1.64301,1.45887,0.00048275,0.00048275,0.00048275
33,5938.73,1.3592,1.37257,1.222,0.52606,0.6484,0.56669,0.29456,1.52263,1.67459,1.50783,0.000458,0.000458,0.000458
34,6117.85,1.35264,1.4065,1.27361,0.6187,0.60812,0.58345,0.3043,1.56283,1.59708,1.50766,0.00043325,0.00043325,0.00043325
35,6296.19,1.29238,1.3579,1.20466,0.75289,0.57045,0.69564,0.36162,1.53896,1.56205,1.48262,0.0004085,0.0004085,0.0004085
36,6474.33,1.29375,1.32527,1.22246,0.70239,0.59003,0.67191,0.36439,1.54711,1.53959,1.51245,0.00038375,0.00038375,0.00038375
37,6652.26,1.2857,1.23927,1.20411,0.71131,0.6138,0.65315,0.34819,1.5699,1.56806,1.54123,0.000359,0.000359,0.000359
38,6828.85,1.27252,1.22667,1.2021,0.63185,0.59003,0.59933,0.31396,1.59334,1.69133,1.56814,0.00033425,0.00033425,0.00033425
39,7006.88,1.24386,1.17763,1.17417,0.59029,0.63504,0.61444,0.34843,1.54763,1.64239,1.52867,0.0003095,0.0003095,0.0003095
40,7182.94,1.20942,1.15623,1.15162,0.53079,0.71323,0.68451,0.39226,1.45769,1.49586,1.46712,0.00028475,0.00028475,0.00028475
41,7357.71,1.25066,1.48291,1.24529,0.65779,0.62812,0.67974,0.37037,1.46049,1.46433,1.46908,0.00026,0.00026,0.00026
42,7532.59,1.2555,1.44162,1.20592,0.52617,0.75415,0.67368,0.3486,1.55287,1.55351,1.51186,0.00023525,0.00023525,0.00023525
43,7710.41,1.2189,1.3352,1.21554,0.5431,0.7832,0.66392,0.33558,1.52698,1.4415,1.52656,0.0002105,0.0002105,0.0002105
44,7885.45,1.21607,1.3077,1.19708,0.54509,0.67159,0.64207,0.34584,1.48927,1.45229,1.5512,0.00018575,0.00018575,0.00018575
45,8061.12,1.16703,1.2931,1.17583,0.54977,0.62062,0.63989,0.3552,1.49653,1.44872,1.55444,0.000161,0.000161,0.000161
46,8236.96,1.20867,1.25558,1.21952,0.58892,0.61738,0.66448,0.36104,1.51773,1.42858,1.54928,0.00013625,0.00013625,0.00013625
47,8412.82,1.12393,1.17588,1.16845,0.67427,0.60114,0.69354,0.36922,1.51028,1.44542,1.53962,0.0001115,0.0001115,0.0001115
48,8586.54,1.10851,1.18737,1.15014,0.61833,0.6351,0.69117,0.37369,1.51727,1.41313,1.54147,8.675e-05,8.675e-05,8.675e-05
49,8759.26,1.11731,1.24137,1.18175,0.59374,0.65799,0.69171,0.38215,1.52784,1.39292,1.54529,6.2e-05,6.2e-05,6.2e-05
50,8932.99,1.15562,1.18701,1.17904,0.6136,0.65614,0.70647,0.38647,1.5283,1.39639,1.53511,3.725e-05,3.725e-05,3.725e-05
