epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.349,1.20859,1.19101,1.1727,0.70377,0.60102,0.70306,0.3652,1.49923,1.45743,1.52152,0.000175,0.000175,0.000175
2,398.912,1.21195,1.17678,1.18606,0.63629,0.68094,0.70886,0.35573,1.58205,1.53273,1.56943,0.000355322,0.000355322,0.000355322
3,579.923,1.26557,1.17848,1.1856,0.51264,0.57951,0.58065,0.31524,1.5027,1.6159,1.51746,0.00052822,0.00052822,0.00052822
4,767.464,1.32188,1.29507,1.22935,0.69448,0.59218,0.64737,0.33563,1.56919,1.56631,1.54166,0.000693692,0.000693692,0.000693692
5,950.113,1.30335,1.28657,1.2125,0.67707,0.53584,0.5954,0.30014,1.5632,1.66502,1.51007,0.00085174,0.00085174,0.00085174
6,1133.72,1.36264,1.38286,1.23933,0.65061,0.58691,0.6846,0.32847,1.63125,1.67267,1.53632,0.00100236,0.00100236,0.00100236
7,1316.2,1.34933,1.27426,1.22047,0.68107,0.62696,0.6411,0.30603,1.65096,1.66757,1.54275,0.0011015,0.0011015,0.0011015
8,1498.1,1.34176,1.31983,1.23374,0.51187,0.66247,0.57748,0.27438,1.68084,1.72835,1.59694,0.00107675,0.00107675,0.00107675
9,1680.34,1.38709,1.35966,1.27184,0.4658,0.6422,0.56248,0.28324,1.66582,1.889,1.65837,0.001052,0.001052,0.001052
10,1863.65,1.34788,1.29665,1.24415,0.53387,0.68875,0.63475,0.30081,1.61626,1.65634,1.53806,0.00102725,0.00102725,0.00102725
11,2047.06,1.35472,1.31707,1.2411,0.5373,0.54375,0.57513,0.25979,1.59455,1.61726,1.50632,0.0010025,0.0010025,0.0010025
12,2231.94,1.29719,1.28722,1.22275,0.43109,0.62443,0.51803,0.24535,1.64379,1.67605,1.62341,0.00097775,0.00097775,0.00097775
13,2413.82,1.32672,1.25519,1.23254,0.71901,0.61364,0.65425,0.30781,1.59623,1.61143,1.60019,0.000953,0.000953,0.000953
14,2597.6,1.33281,1.23995,1.22967,0.54684,0.6731,0.60988,0.26284,1.71411,1.734,1.65265,0.00092825,0.00092825,0.00092825
15,2777.79,1.34123,1.2861,1.24944,0.673,0.4258,0.53056,0.24507,1.58583,1.78,1.52476,0.0009035,0.0009035,0.0009035
16,2958.66,1.33477,1.21351,1.23767,0.56921,0.57138,0.54994,0.27859,1.57887,1.6048,1.50554,0.00087875,0.00087875,0.00087875
17,3140.88,1.28153,1.16956,1.17177,0.48342,0.55381,0.5348,0.2609,1.66594,1.70819,1.59185,0.000854,0.000854,0.000854
18,3322.71,1.31178,1.21072,1.21253,0.51364,0.56156,0.55846,0.27254,1.67073,1.63135,1.55553,0.00082925,0.00082925,0.00082925
19,3502.53,1.24786,1.12757,1.17901,0.36638,0.45142,0.42361,0.2042,1.71061,1.81926,1.62974,0.0008045,0.0008045,0.0008045
20,3682.79,1.22395,1.12171,1.16101,0.62672,0.57675,0.59163,0.29411,1.59437,1.47548,1.55619,0.00077975,0.00077975,0.00077975
21,3864.12,1.24278,1.11981,1.18668,0.58033,0.65012,0.61417,0.30275,1.59693,1.53231,1.54846,0.000755,0.000755,0.000755
22,4050.78,1.22031,1.09962,1.16268,0.55247,0.54469,0.5996,0.2775,1.68477,1.53099,1.61037,0.00073025,0.00073025,0.00073025
23,4235.46,1.23467,1.095,1.15926,0.66716,0.69239,0.62414,0.31751,1.66903,1.5562,1.64334,0.0007055,0.0007055,0.0007055
24,4419.68,1.21508,1.11101,1.14581,0.6622,0.5824,0.63085,0.32572,1.58381,1.41783,1.53953,0.00068075,0.00068075,0.00068075
25,4600.69,1.20122,1.09791,1.16339,0.46387,0.80023,0.61508,0.30559,1.53875,1.4327,1.52588,0.000656,0.000656,0.000656
26,4784.36,1.19767,1.01975,1.15496,0.60146,0.71504,0.62387,0.30384,1.54724,1.42675,1.49664,0.00063125,0.00063125,0.00063125
27,4964,1.15828,0.99514,1.12939,0.60165,0.74652,0.6609,0.32637,1.55038,1.44119,1.52964,0.0006065,0.0006065,0.0006065
28,5147.25,1.15971,0.98304,1.13825,0.56533,0.68415,0.6258,0.34129,1.50135,1.49294,1.54116,0.00058175,0.00058175,0.00058175
29,5329.18,1.1286,0.98902,1.12513,0.52529,0.68277,0.61184,0.32613,1.52156,1.55401,1.53186,0.000557,0.000557,0.000557
30,5508.19,1.15139,1.00879,1.1428,0.65769,0.56248,0.57752,0.289,1.56871,1.44924,1.5681,0.00053225,0.00053225,0.00053225
31,5689.53,1.11297,0.95633,1.11976,0.64911,0.59112,0.58534,0.27253,1.63353,1.48791,1.56922,0.0005075,0.0005075,0.0005075
32,5868.65,1.16999,0.93719,1.12283,0.69623,0.68085,0.66236,0.36149,1.4572,1.35111,1.44838,0.00048275,0.00048275,0.00048275
33,6049.17,1.16862,0.98433,1.11936,0.6127,0.66845,0.64936,0.32622,1.505,1.47831,1.45722,0.000458,0.000458,0.000458
34,6228.55,1.14901,0.98469,1.15026,0.67274,0.58588,0.6291,0.31799,1.53703,1.39422,1.48851,0.00043325,0.00043325,0.00043325
35,6411.72,1.05248,0.91285,1.0885,0.6288,0.68622,0.60221,0.32044,1.53163,1.36256,1.5038,0.0004085,0.0004085,0.0004085
36,6596.68,1.10567,0.93927,1.12456,0.61037,0.62596,0.58305,0.29476,1.56152,1.41623,1.56339,0.00038375,0.00038375,0.00038375
37,6779.74,1.06216,0.86287,1.08225,0.50427,0.72,0.59091,0.28698,1.55475,1.53041,1.54187,0.000359,0.000359,0.000359
38,6964.16,1.08527,0.88487,1.09901,0.54768,0.71781,0.58598,0.30642,1.52847,1.54548,1.54599,0.00033425,0.00033425,0.00033425
39,7148.24,1.02965,0.84084,1.07329,0.60523,0.63552,0.58363,0.29404,1.53419,1.54739,1.54827,0.0003095,0.0003095,0.0003095
40,7329.95,1.03969,0.82397,1.0725,0.56434,0.71394,0.59084,0.30776,1.49789,1.47141,1.5147,0.00028475,0.00028475,0.00028475
41,7513.59,1.06617,0.97405,1.13134,0.59463,0.71774,0.61341,0.31759,1.49236,1.44593,1.49331,0.00026,0.00026,0.00026
42,7692.64,1.07318,0.92161,1.11627,0.56481,0.74315,0.60073,0.30433,1.55022,1.58093,1.51533,0.00023525,0.00023525,0.00023525
43,7878.21,1.03796,0.90775,1.10593,0.59379,0.60036,0.54578,0.26753,1.56189,1.63109,1.54063,0.0002105,0.0002105,0.0002105
44,8066.06,1.00677,0.85764,1.0842,0.58085,0.62329,0.55632,0.26884,1.55431,1.63484,1.55298,0.00018575,0.00018575,0.00018575
45,8248.54,0.98967,0.83688,1.07161,0.61459,0.62231,0.58147,0.27751,1.55173,1.57676,1.54094,0.000161,0.000161,0.000161
46,8437.73,1.03232,0.85308,1.09595,0.54343,0.72781,0.61858,0.30219,1.5735,1.51413,1.55246,0.00013625,0.00013625,0.00013625
47,8623.2,0.96262,0.78848,1.06544,0.52324,0.78698,0.61246,0.302,1.57972,1.53148,1.54754,0.0001115,0.0001115,0.0001115
48,8809.74,0.95956,0.81436,1.06412,0.57389,0.77885,0.60801,0.29712,1.57481,1.49321,1.53578,8.675e-05,8.675e-05,8.675e-05
49,8994.53,0.97454,0.80818,1.10601,0.57676,0.78818,0.60485,0.30335,1.56005,1.43701,1.51591,6.2e-05,6.2e-05,6.2e-05
50,9180.18,1.00944,0.78798,1.07699,0.58188,0.78051,0.60549,0.30709,1.54698,1.43839,1.50607,3.725e-05,3.725e-05,3.725e-05
