epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1068,2.24656,4.26308,1.89379,0.0029,0.27156,0.02338,0.01005,1.77022,3.77662,1.72204,0.000175,0.000175,0.000175
2,42.8133,1.98617,3.5946,1.69876,0.00253,0.31812,0.05058,0.02097,1.62205,3.57072,1.57602,0.000355322,0.000355322,0.000355322
3,48.0341,1.90706,3.16259,1.61535,0.54955,0.02563,0.02152,0.01123,1.72071,3.28916,1.62849,0.00052822,0.00052822,0.00052822
4,56.0666,1.80008,2.7743,1.48628,0.554,0.01,0.07519,0.03824,1.78713,3.2202,1.64074,0.000693692,0.000693692,0.000693692
5,63.794,1.71046,2.62695,1.48374,0.40729,0.1291,0.12405,0.06598,1.82495,2.84783,1.63676,0.00085174,0.00085174,0.00085174
6,70.9961,1.73843,2.54819,1.51419,0.40868,0.14915,0.15239,0.06581,2.03412,2.8496,1.78352,0.00100236,0.00100236,0.00100236
7,76.8717,1.74618,2.55534,1.48572,0.44798,0.14813,0.18092,0.07912,1.84789,3.15096,1.70431,0.0011015,0.0011015,0.0011015
8,81.5692,1.7504,2.39165,1.5197,0.53677,0.14156,0.17091,0.0748,1.74998,2.958,1.65887,0.00107675,0.00107675,0.00107675
9,87.7901,1.75076,2.44824,1.5058,0.56309,0.21719,0.25953,0.10531,1.89751,2.52928,1.78513,0.001052,0.001052,0.001052
10,94.0792,1.65308,2.28616,1.44089,0.36012,0.31063,0.20922,0.09972,1.88517,3.03873,1.7785,0.00102725,0.00102725,0.00102725
11,98.8864,1.66155,2.19661,1.46035,0.46902,0.29685,0.29805,0.14882,1.7024,2.82001,1.71934,0.0010025,0.0010025,0.0010025
12,104.747,1.60448,2.05555,1.39127,0.38942,0.43163,0.37815,0.15748,1.73063,2.33989,1.5963,0.00097775,0.00097775,0.00097775
13,111.426,1.66491,2.02722,1.37919,0.41159,0.44,0.43038,0.1806,1.69131,2.17484,1.63044,0.000953,0.000953,0.000953
14,116.238,1.59806,1.94888,1.4033,0.53152,0.50046,0.42216,0.16157,1.71231,1.89986,1.68715,0.00092825,0.00092825,0.00092825
15,121.461,1.55111,1.91831,1.38938,0.6497,0.24375,0.40949,0.19649,1.80393,1.80053,1.7296,0.0009035,0.0009035,0.0009035
16,128.332,1.57556,1.8976,1.37612,0.46324,0.56625,0.54574,0.25186,1.58422,2.06526,1.59099,0.00087875,0.00087875,0.00087875
17,133.168,1.52736,1.73888,1.32286,0.6129,0.4252,0.5258,0.26094,1.60901,2.02374,1.56941,0.000854,0.000854,0.000854
18,138.106,1.53323,1.74761,1.3544,0.54758,0.51281,0.54525,0.27964,1.59081,1.98577,1.56046,0.00082925,0.00082925,0.00082925
19,145.461,1.46266,1.60643,1.2891,0.59856,0.51588,0.59762,0.28451,1.61626,1.6512,1.56073,0.0008045,0.0008045,0.0008045
20,150.299,1.4878,1.61895,1.31189,0.70607,0.40937,0.58589,0.29761,1.61749,1.62902,1.56617,0.00077975,0.00077975,0.00077975
21,155.23,1.43665,1.6342,1.31654,0.64037,0.59281,0.57884,0.29482,1.54636,1.55636,1.53352,0.000755,0.000755,0.000755
22,163.158,1.41329,1.47132,1.26303,0.62951,0.34043,0.48312,0.25648,1.62431,1.70407,1.65838,0.00073025,0.00073025,0.00073025
23,167.944,1.4204,1.4952,1.27083,0.67529,0.44688,0.57895,0.2862,1.54114,1.41077,1.61247,0.0007055,0.0007055,0.0007055
24,172.444,1.43739,1.49275,1.26706,0.7814,0.58403,0.65496,0.3464,1.60172,1.49966,1.62094,0.00068075,0.00068075,0.00068075
25,179.933,1.35927,1.45034,1.26052,0.84365,0.56867,0.64412,0.33767,1.52023,1.39806,1.5122,0.000656,0.000656,0.000656
26,185.097,1.37846,1.40599,1.23226,0.5871,0.54475,0.59324,0.30703,1.58402,1.43465,1.51082,0.00063125,0.00063125,0.00063125
27,189.824,1.36918,1.39132,1.22169,0.72767,0.55375,0.67453,0.35233,1.54137,1.33955,1.48926,0.0006065,0.0006065,0.0006065
28,196.853,1.3791,1.34721,1.26117,0.69616,0.59677,0.64775,0.3323,1.57146,1.46766,1.5363,0.00058175,0.00058175,0.00058175
29,202.299,1.33077,1.27868,1.20782,0.53734,0.68242,0.64735,0.34447,1.51011,1.34225,1.51043,0.000557,0.000557,0.000557
30,207.197,1.2847,1.27417,1.19859,0.52309,0.68531,0.61068,0.32569,1.48055,1.35612,1.5224,0.00053225,0.00053225,0.00053225
31,213.379,1.2902,1.28649,1.19451,0.5687,0.65715,0.60415,0.31888,1.48593,1.48703,1.56674,0.0005075,0.0005075,0.0005075
32,219.584,1.2833,1.24966,1.19448,0.66474,0.67853,0.66793,0.33639,1.56446,1.45449,1.59789,0.00048275,0.00048275,0.00048275
33,224.132,1.27693,1.23778,1.19671,0.64203,0.71095,0.67583,0.31377,1.57655,1.37519,1.56847,0.000458,0.000458,0.000458
34,229.78,1.25771,1.18812,1.17916,0.54432,0.71174,0.67996,0.35178,1.55621,1.47698,1.54144,0.00043325,0.00043325,0.00043325
35,236.585,1.23451,1.1982,1.18143,0.61299,0.73489,0.67818,0.35601,1.53316,1.35875,1.51858,0.0004085,0.0004085,0.0004085
36,241.569,1.24747,1.20541,1.20077,0.60722,0.70175,0.64576,0.32255,1.56833,1.40894,1.53312,0.00038375,0.00038375,0.00038375
37,246.708,1.24566,1.1482,1.17012,0.74323,0.61448,0.65025,0.32547,1.60029,1.41134,1.54316,0.000359,0.000359,0.000359
38,254.929,1.19946,1.10489,1.14469,0.6039,0.68726,0.61466,0.32674,1.57698,1.3563,1.52142,0.00033425,0.00033425,0.00033425
39,261.044,1.17461,1.09612,1.15334,0.57448,0.78953,0.60332,0.30038,1.57321,1.38194,1.51987,0.0003095,0.0003095,0.0003095
40,266.719,1.18884,1.12242,1.15909,0.6311,0.66203,0.62542,0.30755,1.51934,1.36008,1.51518,0.00028475,0.00028475,0.00028475
41,275.651,1.22513,1.35726,1.21442,0.59361,0.6744,0.59755,0.29677,1.53036,1.41905,1.51668,0.00026,0.00026,0.00026
42,280.374,1.20487,1.31767,1.18022,0.5631,0.65399,0.56836,0.29183,1.47669,1.42057,1.52885,0.00023525,0.00023525,0.00023525
43,286.714,1.13057,1.1396,1.14192,0.56215,0.73845,0.6255,0.30485,1.48269,1.34795,1.53875,0.0002105,0.0002105,0.0002105
44,292.661,1.14222,1.14958,1.14256,0.60863,0.78767,0.64333,0.30707,1.49237,1.30077,1.54779,0.00018575,0.00018575,0.00018575
45,297.383,1.13511,1.14884,1.16979,0.65516,0.73593,0.66034,0.34138,1.49798,1.26241,1.54696,0.000161,0.000161,0.000161
46,303.118,1.12201,1.10423,1.15706,0.63572,0.79781,0.66005,0.34102,1.48633,1.27823,1.5461,0.00013625,0.00013625,0.00013625
47,309.64,1.11124,1.05449,1.12598,0.60672,0.77267,0.63488,0.34001,1.46153,1.25976,1.53796,0.0001115,0.0001115,0.0001115
48,314.393,1.15826,1.09385,1.16364,0.64316,0.7771,0.65112,0.33487,1.45165,1.26428,1.53401,8.675e-05,8.675e-05,8.675e-05
49,319.103,1.08022,1.08465,1.13422,0.65419,0.76311,0.63728,0.33469,1.44304,1.24677,1.53167,6.2e-05,6.2e-05,6.2e-05
50,326.234,1.04026,1.02338,1.08231,0.64157,0.79725,0.64361,0.33553,1.44883,1.24694,1.52835,3.725e-05,3.725e-05,3.725e-05
